"Title","Mar 2016","Mar 2017","Mar 2018","Mar 2019","Mar 2020","Mar 2021","Mar 2022","Mar 2023","Mar 2024","Mar 2025"
"SA/CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON"
"Contingent Liabilities & Commitments","190.1","261.7","85.8","38.7","227.3","458.6","295.9","228.5","1084","942"
"Contingent Liabilities","44.7","162.6","43.3","38.7","31.1","34.4","29.7","27.2","1010.8","648.4"
"Claims against the company not acknowledged as debt","44.7","0","0","0","0","0","0","0","0","0"
"Sales Tax Disputed","18.4","133.8","11.2","13.9","10.8","10.8","9.5","4.3","11.7","0.9"
"Income Tax Disputed","0","1.4","3.7","3.7","2.4","5.7","2.3","5.7","7.3","5.5"
"Excise Disputed","26.2","26.4","27.4","19.8","17","17","17","16.2","33.4","66.2"
"Others Disputed","0.2","1","1","1.3","0.9","0.9","0.9","0.9","0","0"
"Guarantees","0","0","0","0","0","0","0","0","958.4","575.7"
"Corporate Guarantees","0","0","0","0","0","0","0","0","958.4","575.7"
"Commitments","145.4","99.1","42.5","0","196.2","424.3","266.2","201.3","73.3","293.6"
"(a) Estimated amount of contracts remaining to be executed on capital","145.4","99.1","42.5","0","196.2","424.3","266.2","201.3","73.3","293.6"
"Dividend (%)","100","120","140","140","0","0","175","250","275","287.5"
"Dividend Per Share","10","12","14","14","0","0","3.5","5","5.5","5.8"
