Title,Jun-15,Sep-15,Dec-15,Mar-16,Jun-16,Sep-16,Dec-16,Mar-17,Jun-17,Sep-17,Dec-17,Mar-18,Jun-18,Sep-18,Dec-18,Mar-19,Jun-19,Sep-19,Dec-19,Mar-20,Jun-20,Sep-20,Dec-20,Mar-21,Jun-21,Sep-21,Dec-21,Mar-22,Jun-22,Sep-22,Dec-22,Mar-23,Jun-23,Sep-23,Dec-23,Mar-24,Jun-24,Sep-24,Dec-24,Mar-25,Jun-25,Sep-25,Dec-25,Mar-26
SA/CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON
Profit from ordinary activities after finance costs but before exceptional items,204.7,45.1,114.6,168.8,155.9,89.8,138.9,197.9,115.2,96.5,147.6,243.5,139.7,160.3,132.4,150.5,114.6,114.5,164.5,216.4,58.8,201.1,348.1,458.1,168.1,257.1,262.9,339.3,210.2,86.6,245.7,415.6,262.1,295.5,317.2,423.9,319.4,241.7,223.5,334.4,240,202.8,196.7,501.3
Share of Profits / Loss of Associated Companies Before Tax,,0,0,0,0,0,0,0,0,0,8.4,12.2,6,2.5,-5.2,11.1,12.5,11,0.8,7,-3.6,26.5,52.8,70.3,45,39.1,50.7,69.6,58,18.6,27.6,49.1,21.3,24,20.8,40.7,37.5,27.8,22,32.8,25.2,14.9,9.4,51.7
Exceptional Items,,0,0,-7.7,0,0,0,0,0,0,0,0,55.9,0,0,11.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total Exceptional Income,,0,0,0,0,0,0,0,0,0,0,0,55.9,0,0,11.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gain on Sale of Assets,,0,0,0,0,0,0,0,0,0,0,0,55.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Incomes,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total Exceptional Expenses,,0,0,-7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Expenses,,0,0,-7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Profit from ordinary activities before tax,204.7,45.1,114.6,161.1,155.9,89.8,138.9,197.9,115.2,96.5,156,255.7,201.5,162.8,127.1,172.9,127.1,125.5,165.3,223.4,55.2,227.7,400.9,528.5,213.1,296.2,313.5,408.9,268.2,105.2,273.3,464.7,283.4,319.5,338,464.6,356.9,269.5,245.4,367.2,265.2,217.6,206.1,553
Total Tax,71.5,16.9,38.3,62.6,53.7,31.6,48.2,72.3,39.9,36.7,51.8,77.4,65.2,55.5,46.2,48.9,40,-14,41.9,106.1,14.6,52.7,88.6,78.1,43,67.5,67.8,85.1,54.3,23.1,63.3,105.2,67.8,76.3,81.8,109.7,83.6,62.9,58.4,73.2,62.9,52.9,52.7,119.5
Tax,89.2,16.9,38.3,62.6,50.8,29.9,45.5,68.7,40.3,30.5,52.5,85.2,65.2,57.7,46.2,48.9,40,-14,41.9,106.1,14.6,52.7,88.6,78.1,43,67.5,67.8,85.1,54.3,23.1,63.3,105.2,67.8,76.3,81.8,109.7,83.6,62.9,58.4,73.2,62.9,52.9,52.7,119.5
Current Year Tax,,16.9,38.3,62.6,50.8,29.9,45.5,68.7,40.3,30.5,52.5,85.2,65.2,57.7,46.2,48.9,40,-14,41.9,106.1,14.6,52.7,88.6,78.1,43,67.5,67.8,85.1,54.3,23.1,63.3,105.2,67.8,76.3,81.8,109.7,83.6,62.9,58.4,73.2,62.9,52.9,52.7,119.5
Deferred Tax,-17.6,0,0,0,2.9,1.6,2.6,3.7,-0.4,6.2,-0.7,-7.9,0,-2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deferred Tax Current,,0,0,0,2.9,1.6,2.6,3.7,-0.4,6.2,-0.7,-7.9,0,-2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net profit from Ordinary Activities After Tax,133.1,28.2,76.3,98.5,102.2,58.2,90.8,125.6,75.3,59.8,104.2,178.3,136.4,107.3,81,124.1,87.1,139.6,123.4,117.3,40.5,175,312.3,450.4,170.2,228.7,245.7,323.9,213.9,82,210,359.4,215.5,243.2,256.2,354.8,273.4,206.6,187,293.9,202.3,164.7,153.4,433.6
Net profit from Ordinary Activities/Discontinued Operations After Tax,,28.2,76.3,98.5,102.2,58.2,90.8,125.6,75.3,59.8,104.2,178.3,136.4,107.3,81,124.1,87.1,139.6,123.4,117.3,40.5,175,312.3,450.4,170.2,228.7,245.7,323.9,213.9,82,210,359.4,215.5,243.2,256.2,354.8,273.4,206.6,187,293.9,202.3,164.7,153.4,433.6
Extraordinary items,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total Extraordinary Income,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total Extraordinary Expenses,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net Profit after tax for the Period,140.8,28.2,76.3,98.5,102.2,58.2,90.8,125.6,75.3,59.8,104.2,178.3,136.4,107.3,81,124.1,87.1,139.6,123.4,117.3,40.5,175,312.3,450.4,170.2,228.7,245.7,323.9,213.9,82,210,359.4,215.5,243.2,256.2,354.8,273.4,206.6,187,293.9,202.3,164.7,153.4,433.6
Share of Profits / Loss of Associated Companies After Tax,,-7.5,7.6,16.3,13.7,8.6,10.6,20.9,3.1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Net Profit after taxes, minority interest and share of Profit/(Loss) of associates",159.8,20.7,83.9,114.8,115.8,66.8,101.4,146.4,78.4,70.8,104.2,178.3,136.4,107.3,81,124.1,87.1,139.6,123.4,117.3,40.5,175,312.3,450.4,170.2,228.7,245.7,323.9,213.9,82,210,359.4,215.5,243.2,256.2,354.8,273.4,206.6,187,293.9,202.3,164.7,153.4,433.6
Owners of the Company,,,,,,,,,,70.8,104.2,0,0,107.3,81,124.1,87.1,139.6,123.4,117.3,,,,,170.2,228.7,245.7,323.9,213.9,82,210,359.4,215.5,243.2,256.2,354.8,273.4,206.6,187,293.9,202.3,164.7,153.4,433.6
Non-Controlling Interest,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,40.5,175,312.3,450.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Comprehensive Income,,0,0,0,0,0,-0.6,-0.5,-0.5,-0.5,-0.5,0.9,-0.2,-0.2,-0.1,-1.8,-0.6,-0.8,-0.7,-2.4,-0.6,-0.6,-0.6,0.3,-0.3,-0.3,-0.3,-0.2,-0.2,-0.2,-0.2,-2.2,-0.7,-0.7,-0.8,-5.1,-1.8,-1.5,-1.7,2.3,-0.7,-0.6,-0.8,1.4
Owners of the Company,,,,,,,,,,0,-0.5,0,0,-0.2,-0.1,-1.8,-0.6,-0.8,-0.7,-2.4,0,0,0,0,-0.3,-0.3,-0.3,-0.2,-0.2,-0.2,-0.2,-2.2,-0.7,-0.7,-0.8,-5.1,-1.8,-1.5,-1.7,2.3,-0.7,-0.6,-0.8,1.4
Non-Controlling Interest,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,-0.6,-0.6,-0.6,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total Comprehensive Income,,0,0,0,0,0,100.8,145.9,77.8,70.3,103.7,179.2,136.2,107.1,80.9,122.2,86.5,138.8,122.7,114.9,39.9,174.3,311.7,450.7,169.8,228.4,245.4,323.7,213.6,81.8,209.8,357.2,214.8,242.5,255.4,349.7,271.5,205.1,185.3,296.2,201.6,164.1,152.6,435
Owners of the Company,,,,,,,,,,70.3,103.7,0,0,107.1,80.9,122.2,86.5,138.8,122.7,114.9,0,0,0,0,169.8,228.4,245.4,323.7,213.6,81.8,209.8,357.2,214.8,242.5,255.4,349.7,271.5,205.1,185.3,296.2,201.6,164.1,152.6,435
Non-Controlling Interest,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,39.9,174.3,311.7,450.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equity,,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4
Face Value,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
EPS before Exceptional/Extraordinary items-Basic,11.1,1.6,6.6,9.6,9.1,5.3,8,11.5,6.2,5.6,8.2,14,7.6,8.5,6.4,8.2,6.9,11,9.7,9.2,3.2,13.8,24.6,35.5,13.4,18,19.3,25.5,16.8,6.5,16.5,28.3,17,19.1,20.2,27.9,21.5,16.3,14.7,23.1,15.9,13,12.1,34.1
EPS before Exceptional/Extraordinary items-Diluted,,1.6,6.6,9.6,9.1,5.3,8,11.5,6.2,5.6,8.2,14,7.6,8.5,6.4,8.2,6.9,11,9.7,9.2,3.2,13.8,24.6,35.5,13.4,18,19.3,25.5,16.8,6.5,16.5,28.3,17,19.1,20.2,27.9,21.5,16.3,14.7,23.1,15.9,13,12.1,34.1
EPS after Exceptional/Extraordinary items-Basic,,1.6,9.3,9,9.1,5.3,8,11.5,6.2,5.6,8.2,14,10.7,8.5,6.4,9.1,6.9,11,9.7,9.2,3.2,13.8,24.6,35.5,13.4,18,19.3,25.5,16.8,6.5,16.5,28.3,17,19.1,20.2,27.9,21.5,16.3,14.7,23.1,15.9,13,12.1,34.1
EPS after Exceptional/Extraordinary items-Diluted,,1.6,9.3,9,9.1,5.3,8,11.5,6.2,5.6,8.2,14,10.7,8.5,6.4,9.1,6.9,11,9.7,9.2,3.2,13.8,24.6,35.5,13.4,18,19.3,25.5,16.8,6.5,16.5,28.3,17,19.1,20.2,27.9,21.5,16.3,14.7,23.1,15.9,13,12.1,34.1
Dividend Per Share(Rs.),,0,2.5,0,0,3,0,0,0,3,0,0,0,4,0,0,0,4,0,0,0,5,0,0,0,6,0,6,0,6,0,0,0,8,0,0,0,10,0,0,0,11,0,0
Dividend (%),,0,125,0,0,150,0,0,0,150,0,0,0,200,0,0,0,200,0,0,0,250,0,0,0,300,0,300,0,300,0,0,0,400,0,0,0,500,0,0,0,550,0,0
