"Title","Jun 2015","Sep 2015","Dec 2015","Mar 2016","Jun 2016","Sep 2016","Dec 2016","Mar 2017","Jun 2017","Sep 2017","Dec 2017","Mar 2018","Jun 2018","Sep 2018","Dec 2018","Mar 2019","Jun 2019","Sep 2019","Dec 2019","Mar 2020","Jun 2020","Sep 2020","Dec 2020","Mar 2021","Jun 2021","Sep 2021","Dec 2021","Mar 2022","Jun 2022","Sep 2022","Dec 2022","Mar 2023","Jun 2023","Sep 2023","Dec 2023","Mar 2024","Jun 2024","Sep 2024","Dec 2024","Mar 2025","Jun 2025","Sep 2025","Dec 2025","Mar 2026"
"SA/CON","SA","SA","SA","SA","SA","SA","SA","SA","SA","SA","SA","SA","SA","SA","SA","SA","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON"
"Total Extraordinary Expenses","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Net Profit after tax for the Period","2.7","2.6","2.9","3.9","5","5.1","4.1","5.5","4.8","4.4","4.5","6.3","7","8.2","11.3","7.1","8","10.8","9.3","-9.2","5.6","13.7","12.5","23.5","13.9","15","15.6","16.6","21","24.2","24","26.8","27.8","31.8","31.3","37.6","28.4","34.1","29.8","29.6","28.3","37.3","46","38.3"
"Share of Profits / Loss of Associated Companies After Tax","","","","","","","","","","","","0","0","0","0","0","0","0","0.2","-0.4","-0.2","0.2","0.1","-0.2","-0.1","-0.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Net Profit after taxes, minority interest and share of Profit/(Loss) of associates","","2.6","2.9","3.9","5","5.1","4.1","5.5","4.8","4.4","4.5","6.3","7","8.2","11.3","7.1","8","10.8","9.5","-9.6","5.4","13.9","12.5","23.2","13.8","14.9","15.6","16.6","21","24.2","24","26.8","27.8","31.8","31.3","37.6","28.4","34.1","29.8","29.6","28.3","37.3","46","38.3"
"Owners of the Company","","","","","","","","","","","","","","","","","8","10.8","9.5","-9.6","","","","","13.8","14.9","15.6","16.6","21","24.2","24","26.8","27.8","31.8","31.3","37.6","28.4","34.1","29.8","29.6","28.3","37.3","46","38.3"
"Non-Controlling Interest","","","","","","","","","","","","","","","","","0","0","0","0","5.4","13.9","12.5","23.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Other Comprehensive Income","","0","0","0","0","0","0","0.7","-0.2","0.1","0","-2","0","0","0","0.2","0","0.1","0","0","0","0","0","0.1","0","0.1","0","-0.1","0","0","0","0","0","0","0","0","0","-0.8","-0.1","0.1","-0.2","0.2","0","-0.3"
"Owners of the Company","","","","","","","","","","","","","","","","","0","0.1","0","0","0","0","0","0","0","0.1","0","-0.1","0","0","0","0","0","0","0","0","0","-0.8","-0.1","0.1","-0.2","0.2","0","-0.3"
"Non-Controlling Interest","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Total Comprehensive Income","","2.6","2.9","3.8","4.9","5.1","4","6.2","4.6","4.5","4.5","4.4","7","8.1","11.3","7.3","8","10.9","9.4","-9.6","5.4","14","12.6","23.3","13.8","15","15.6","16.5","21","24.2","24","26.8","27.8","31.8","31.3","37.6","28.4","33.3","29.7","29.7","28.1","37.6","46","37.9"
"Owners of the Company","","","","","","","","","","","","","","","","","8","10.9","9.4","-9.6","0","0","0","0","13.8","15","15.6","16.5","21","24.2","24","26.8","27.8","31.8","31.3","37.6","28.4","33.3","29.7","29.7","28.1","37.6","46","37.9"
"Non-Controlling Interest","","","","","","","","","","","","","","","","","0","0","0","0","5.4","14","12.6","23.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Equity","","7.3","7.3","7.3","7.3","7.3","7.3","7.3","8.2","8.2","8.2","8.2","8.2","8.2","8.2","8.2","8.5","8.5","8.2","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5","8.5"
"Face Value","","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"EPS before Exceptional/Extraordinary items-Basic","1.9","3.6","4","5.3","6.7","7","5.6","7.6","5.9","5.4","5.6","8","8.6","10","13.8","8.7","9.4","12.8","11.4","3.5","6.6","16.2","7.4","13.9","8.2","8.9","9.2","9.8","12.4","14.3","14.2","15.8","16.4","18.7","18.5","22.8","16.7","19.7","17.6","17.5","16.6","22.2","27.2","22.4"
"EPS before Exceptional/Extraordinary items-Diluted","","3.6","4","5.3","6.7","7","5.6","7.6","5.9","5.4","5.6","8","8.6","10","13.8","8.7","9.4","12.8","11.2","3.5","6.4","16.4","7.4","13.7","8.1","8.8","9.2","9.7","12.4","14.3","14.2","15.8","16.4","18.7","18.5","22.8","16.7","19.7","17.6","17.5","16.6","22.2","27.2","22.4"
"EPS after Exceptional/Extraordinary items-Basic","","3.6","4","5.3","6.7","7","5.6","7.6","5.9","5.4","5.6","8","8.6","10","13.8","8.7","9.4","12.8","11.4","-5.4","6.6","16.2","7.4","13.9","8.2","8.9","9.2","9.8","12.4","14.3","14.2","15.8","16.4","18.7","18.5","22.2","16.7","19.7","17.6","17.5","16.6","22.2","27.2","22.4"
"EPS after Exceptional/Extraordinary items-Diluted","","3.6","4","5.3","6.7","7","5.6","7.6","5.9","5.4","5.6","8","8.6","10","13.8","8.7","9.4","12.8","11.2","-5.4","6.4","16.4","7.4","13.7","8.1","8.8","9.2","9.7","12.4","14.3","14.2","15.8","16.4","18.7","18.5","22.2","16.7","19.7","17.6","17.5","16.6","22.2","27.2","22.4"
"Dividend Per Share(Rs.)","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Dividend (%)","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
