"Title","Mar 2016","Mar 2017","Mar 2018","Mar 2019","Mar 2020","Mar 2021","Mar 2022","Mar 2023","Mar 2024","Mar 2025"
"SA/CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON"
"Others","0","0","0","0","0","0","0","0","0","0"
"Debentures","0","50","50","100","0","0","0","0","0","0"
"Non Convertible Debentures","0","50","50","100","0","0","0","0","0","0"
"Loans repayable on demand","360.9","212.7","451.2","435.6","322.9","258","166.1","303.7","142.2","21.9"
"From Banks","360.9","212.7","451.2","435.6","322.9","258","166.1","303.7","142.2","21.9"
"-Cash Credit","144.1","122.6","360.5","416.6","0","0","0","0","0","0"
"Others","144.1","122.6","360.5","416.6","0","0","0","0","0","0"
"-Working Capital Facilities","216.8","90.1","90.7","19","322.9","258","166.1","303.7","142.2","21.9"
"Others","216.8","90.1","90.7","19","322.9","258","166.1","303.7","142.2","21.9"
"-Packing Credit","0","0","0","0","0","0","0","0","0","0"
"-Others","0","0","0","0","0","0","0","0","0","0"
"From Other Parties","0","0","0","0","0","0","0","0","0","0"
"Loans and advances from related parties","0","0","0","0","0","0","0","0","0","0"
"Associate Companies","0","0","0","0","0","0","0","0","0","0"
"Subsidiary Companies","0","0","0","0","0","0","0","0","0","0"
"Joint Venture Companies","0","0","0","0","0","0","0","0","0","0"
"Holding Company","0","0","0","0","0","0","0","0","0","0"
"Controlled Special Purpose Entities","0","0","0","0","0","0","0","0","0","0"
"Others","0","0","0","0","0","0","0","0","0","0"
"Deposits","0","0","0","0","0","0","0","0","0","0"
"Other loans and advances From Banks","0","62","93.6","0","0","0","0","0","0","0"
"Term Loans","0","25","0","0","0","0","0","0","0","0"
"Term Loans Others","0","25","0","0","0","0","0","0","0","0"
"Buyers Credit","0","37","93.6","0","0","0","0","0","0","0"
"Others","0","0","0","0","0","0","0","0","0","0"
"Others","0","62","93.6","0","0","0","0","0","0","0"
"Other Loans and Advances From Others","0","0","0","0","0","0","0","0","0","0"
"Others","0","0","0","0","0","0","0","0","0","0"
"Current Maturities of Long-term Secured Loans","","","","","","","","","195.9","183.8"
"Bonds","","","","","","","","","0","0"
"Debentures","","","","","","","","","0","0"
"Term Loans","","","","","","","","","195.9","183.8"
"Term Loans - Banks","","","","","","","","","195.9","183.8"
"Others","","","","","","","","","195.9","183.8"
"Term Loan Buyers Credit Arrangements","","","","","","","","","0","0"
"Term Loans - Institutions","","","","","","","","","0","0"
"Term Loans / Borrowings from Government of India","","","","","","","","","0","0"
"Term Loans - Others","","","","","","","","","0","0"
"Deferred Payment Liabilities","","","","","","","","","0","0"
"Deposits","","","","","","","","","0","0"
"Loans and Payments from Related Parties","","","","","","","","","0","0"
"Loans from Associate Companies","","","","","","","","","0","0"
"Loans from Subsidiary Companies","","","","","","","","","0","0"
"Loans from Joint Venture Companies","","","","","","","","","0","0"
"Loans from Holding Company","","","","","","","","","0","0"
"Loans from Controlled Special Purpose Entities","","","","","","","","","0","0"
"Loans from Other Related Parties","","","","","","","","","0","0"
"Other Loans from Banks","","","","","","","","","0","0"
"Cash Credit Facilities","","","","","","","","","0","0"
"Packing Credit Facilities","","","","","","","","","0","0"
"Working Capital Facilities from Banks","","","","","","","","","0","0"
"Other Buyers Credit Arrangements","","","","","","","","","0","0"
"Other Secured Loans from Banks","","","","","","","","","0","0"
"Other Secured Loans from Other Parties","","","","","","","","","0","0"
"Other Secured Loans","","","","","","","","","0","0"
"Unsecured Short Term Borrowings","50","139.3","0.3","0","0","0","0","0","0","0"
"Bonds","0","0","0","0","0","0","0","0","0","0"
"Convertible Bonds","0","0","0","0","0","0","0","0","0","0"
"Non Convertible Bonds","0","0","0","0","0","0","0","0","0","0"
"Others","0","0","0","0","0","0","0","0","0","0"
"Debentures","0","0","0","0","0","0","0","0","0","0"
"Loans repayable on demand","0","0","0","0","0","0","0","0","0","0"
"From Banks","0","0","0","0","0","0","0","0","0","0"
"-Cash Credit","0","0","0","0","0","0","0","0","0","0"
"-Working Capital Facilities","0","0","0","0","0","0","0","0","0","0"
"-Packing Credit","0","0","0","0","0","0","0","0","0","0"
"-Others","0","0","0","0","0","0","0","0","0","0"
"From Other Parties","0","0","0","0","0","0","0","0","0","0"
"Loans and advances from related parties","0","0","0","0","0","0","0","0","0","0"
"Associate Companies","0","0","0","0","0","0","0","0","0","0"
"Subsidiary Companies","0","0","0","0","0","0","0","0","0","0"
"Joint Venture Companies","0","0","0","0","0","0","0","0","0","0"
"Holding Company","0","0","0","0","0","0","0","0","0","0"
"Controlled Special Purpose Entities","0","0","0","0","0","0","0","0","0","0"
"Others","0","0","0","0","0","0","0","0","0","0"
"Deposits","0","0","0","0","0","0","0","0","0","0"
"Other loans and advances From Banks","0","0","0","0","0","0","0","0","0","0"
"Term Loans","0","0","0","0","0","0","0","0","0","0"
"Others","0","0","0","0","0","0","0","0","0","0"
"Commercial Papers","50","138.2","0","0","0","0","0","0","0","0"
"Other Loans and Advances From Others","0","1.1","0.3","0","0","0","0","0","0","0"
"Others","0","1.1","0.3","0","0","0","0","0","0","0"
"Others","0","1.1","0.3","0","0","0","0","0","0","0"
"Current Maturities of Long-term Unsecured Loans","","","","","","","","","0","0"
"Bonds","","","","","","","","","0","0"
"Debentures","","","","","","","","","0","0"
"Term Loans","","","","","","","","","0","0"
"Term Loans - Banks","","","","","","","","","0","0"
"Term Loan Buyers Credit Arrangements","","","","","","","","","0","0"
"Term Loans - Institutions","","","","","","","","","0","0"
"Term Loans / Borrowings from Government of India","","","","","","","","","0","0"
