"Title","Jun 2015","Sep 2015","Dec 2015","Mar 2016","Jun 2016","Sep 2016","Dec 2016","Mar 2017","Jun 2017","Sep 2017","Dec 2017","Mar 2018","Jun 2018","Sep 2018","Dec 2018","Mar 2019","Jun 2019","Sep 2019","Dec 2019","Mar 2020","Jun 2020","Sep 2020","Dec 2020","Mar 2021","Jun 2021","Sep 2021","Dec 2021","Mar 2022","Jun 2022","Sep 2022","Dec 2022","Mar 2023","Jun 2023","Sep 2023","Dec 2023","Mar 2024","Jun 2024","Sep 2024","Dec 2024","Mar 2025","Jun 2025","Sep 2025","Dec 2025","Mar 2026"
"SA/CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON","CON"
"Other Interest Expenses","","16.8","18.4","18.2","20","15.6","21","15.4","17.7","20.8","20.3","22.6","26.3","31","27.1","28.9","28.3","26.9","28","24.1","21.2","15.9","14.7","14.4","12.8","10.7","10.9","10.1","10","13.6","18.6","24.9","27.1","26.6","28.5","31.1","27.8","36.4","36.8","32.3","33.3","27.6","32.9","31.7"
"Profit from ordinary activities after finance costs but before exceptional items","4.8","46.8","46.6","60.5","67.2","45.1","47.4","56.3","58.3","62.6","56.4","67","70.9","41","19.6","95.4","81","25.8","110.9","78.6","30.9","138.2","199.5","177.2","225.6","195.6","172.1","239.1","162.9","202.3","229","269.2","260.9","276.7","219","221.2","252","69.6","280.1","358.7","310","386.4","404.5","456.6"
"Exceptional Items","","-16.2","0","-7.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Total Exceptional Income","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Total Exceptional Expenses","","-16.2","0","-7.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Other Expenses","","-16.2","0","-7.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Profit from ordinary activities before tax","4.8","30.6","46.6","52.8","67.2","45.1","47.4","56.3","58.3","62.6","56.4","67","70.9","41","19.6","95.4","81","25.8","110.9","78.6","30.9","138.2","199.5","177.2","225.6","195.6","172.1","239.1","162.9","202.3","229","269.2","260.9","276.7","219","221.2","252","69.6","280.1","358.7","310","386.4","404.5","456.6"
"Total Tax","11.1","10.5","15.5","25.3","23.4","15.8","18.3","6.4","19.5","21.9","20.5","24.3","23.9","14.3","6.8","33.7","28.9","-34.1","27.7","17.8","9","35.6","50.7","42.8","57.2","49.5","44.2","62.5","42.2","52.1","59.8","67.3","67.2","73.8","53.5","50.8","58.9","15.8","63.1","65.6","72.8","84.8","94.4","102.3"
"Tax","11.1","10.5","15.5","22.8","20.5","17.8","17.9","10.7","15.6","24.8","13.7","17","20.4","15.5","5","24.1","26.5","-3.3","22.9","19.6","6.7","34.1","53.1","35.4","57.5","46.7","42.2","60.2","42.8","52","56.4","67.1","72.9","67","51.1","47.2","58.7","9.7","54.4","51.8","67.2","81.6","89.7","96.3"
"Current Year Tax","","10.5","15.5","24.4","20.5","17.8","14.6","12.7","15.6","24.4","13.7","17.4","20.4","15.5","5","24","26.5","-3.3","22.9","20.9","5.9","34","53.1","35.7","57.5","46.7","42.2","60.2","42.8","52","56.4","67.1","72.9","67","52.3","47.2","58.7","9.7","57.1","65.1","67.2","81.3","88.1","95"
"Minium Alternate Tax(MAT)","","0","0","-2.9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Adjustment for Previous Year Current Tax","","0","0","1.3","0","0","3.2","-2","0","0.4","0","-0.4","0","0","0","0.1","0","0","0","-1.3","0.8","0.1","0","-0.4","0","0","0","0","0","0","0","0","0","0","-1.1","0","0","0","-2.6","-13.3","0","0.4","1.6","1.3"
"Deferred Tax","0","0","0","2.5","2.9","-2","0.4","-4.2","3.9","-2.8","6.7","7.3","3.5","-1.1","1.8","9.6","2.4","-30.8","4.8","-1.8","2.3","1.5","-2.4","7.4","-0.3","2.8","2","2.3","-0.5","0.1","3.4","0.2","-5.6","6.8","2.3","3.6","0.1","6.1","8.7","13.8","5.6","3.2","4.7","6"
"Deferred Tax Current","","0","0","2.5","2.9","-2","0.4","-4.2","3.9","-2.8","6.7","7.3","3.5","-1.1","1.8","9.6","2.4","-30.8","4.8","-1.8","2.3","1.5","-2.4","7.4","-0.3","2.8","2","2.3","-0.5","0.1","3.4","0.2","-5.6","6.8","2.3","3.6","0.1","6.1","8.7","13.8","5.6","3.2","4.7","6"
"Net profit from Ordinary Activities After Tax","-6.3","20.1","31.1","27.5","43.8","29.3","29.1","49.9","38.8","40.7","35.9","42.7","47","26.7","12.9","61.7","52.1","59.8","83.3","60.8","21.9","102.6","148.8","134.4","168.4","146.1","127.9","176.6","120.7","150.2","169.2","201.8","193.6","202.9","165.5","170.4","193.2","53.8","217","293.1","237.2","301.5","310","354.4"
